,Phrase,Question,Lemma,Answer,D1,D2,D3,F_Answer,F_D1,F_D2,F_D3
0,The beauty of the landscape struck the travellers.,The beauty of the landscape ... the travellers.,strike,struck,strikes,striking,striked,past tense,3rd person singular present,present participle,past tense
1,Nobody knows the truth about this affair.,Nobody ... the truth about this affair.,know,knows,knowed,knowing,knows,3rd person singular present,past tense,present participle,3rd person singular present
2,"In a dictatorship, freedom of expression is limited.","In a dictatorship, freedom of expression ....",limit,is limited,limits,limited,limiting,past participle,3rd person singular present,past tense,present participle
3,He did not help you out of kindness.,He did not ... you out of kindness.,help,help,helps,help,helping,infinitive,3rd person singular present,infinitive,present participle
4,His wickedness had no limits.,His wickedness ... no limits.,have,had,have,haves,haved,past tense,infinitive,3rd person singular present,past participle
5,His elegance impressed the assembly.,His elegance ... the assembly.,impress,impressed,impresses,impress,impressed,past tense,3rd person singular present,infinitive,past participle
6,There is a big difference between the western and the asiatic culture.,There ... a big difference between the western and the asiatic culture.,be,is,bing,bes,bed,3rd person singular present,present participle,3rd person singular present,past participle
7,He has high ideals.,He ... high ideals.,have,has,haved,have,haved,3rd person singular present,past participle,infinitive,past tense
8,He was struck by the modernity of the underground.,He ... by the modernity of the underground.,strike,was struck,striked,strike,striked,past participle,past tense,infinitive,past participle
9,The quality of his work was acknowledged by the jury.,The quality of his work ... by the jury.,acknowledge,was acknowledged,acknowledge,acknowledges,acknowledged,past participle,infinitive,3rd person singular present,past participle
10,A significant amount of oil has spilt in the sea.,A significant amount of oil has ... in the sea.,spill,spilt,spilled,spilled,spilling,past participle,past participle,past tense,present participle
11,He has been impressed by the cleanliness of his flat.,He ... by the cleanliness of his flat.,impress,has been impressed,impressed,impress,impressing,past participle,past participle,infinitive,present participle
12,His mother makes very tasty pies.,His mother ... very tasty pies.,make,makes,make,makes,maked,3rd person singular present,infinitive,3rd person singular present,past tense
13,Everything he said was true.,Everything he ... was true.,say,said,saying,says,sayed,past tense,present participle,3rd person singular present,past participle
14,We did not go to the beach because the weather was bad.,We did not ... to the beach because the weather was bad.,go,go,going,go,gos,infinitive,present participle,infinitive,3rd person singular present
15,He gave the wrong answer.,He ... the wrong answer.,give,gave,giving,gives,give,past tense,present participle,3rd person singular present,infinitive
16,It is a fast car but it is hard to drive.,It is a fast car but it is hard to ....,drive,drive,drives,drive,drived,infinitive,3rd person singular present,infinitive,past participle
17,"The cat is too high, I cannot reach it.","The cat is too high, I cannot ... it.",reach,reach,reached,reached,reaching,infinitive,past tense,past participle,present participle
18,He always dresses in black.,He always ... in black.,dress,dresses,dressed,dresses,dress,3rd person singular present,past tense,3rd person singular present,infinitive
19,I do not have any white shirt left.,I do not ... any white shirt left.,have,have,haved,having,have,infinitive,past tense,present participle,infinitive
20,I do not have any white shirt left.,I do not have any white shirt ....,leave,left,leaved,leaved,leaving,past participle,past participle,past tense,present participle
21,He is wearing a blue shirt.,He is ... a blue shirt.,wear,wearing,wear,wearing,weared,present participle,infinitive,present participle,past tense
22,I have a green car.,I ... a green car.,have,have,haves,having,have,non-3rd person singular present,3rd person singular present,present participle,infinitive
23,The milk had turned yellow.,The milk had ... yellow.,turn,turned,turns,turned,turn,past participle,3rd person singular present,past tense,infinitive
24,What is this purple flower called?,What is this purple flower ...?,call,called,calls,calling,called,past participle,3rd person singular present,present participle,past participle
25,He is kind only when he needs you.,He is kind only when he ... you.,need,needs,need,needed,needed,3rd person singular present,infinitive,past tense,past participle
26,He travelled a lot when he was young.,He ... a lot when he was young.,travel,travelled,traveling,traveled,travel,past tense,present participle,past tense,infinitive
27,I am too old to travel.,I am too old to ....,travel,travel,traveled,travel,travels,infinitive,past tense,infinitive,3rd person singular present
28,I lost myself in the narrow alleys of the old city.,I ... myself in the narrow alleys of the old city.,lose,lost,losing,losed,lose,past tense,present participle,past tense,infinitive
29,"The trip was too long, I am exhausted.","The trip was too long, I ....",exhaust,am exhausted,exhausts,exhausted,exhausted,past participle,3rd person singular present,past participle,past tense
30,"My stay here has been too short, I have to come back.","My stay here has been too short, I ... to come back.",have,have,having,have,haves,non-3rd person singular present,present participle,infinitive,3rd person singular present
31,"My stay here has been too short, I have to come back.","My stay here has been too short, I have to ... back.",come,come,comed,coming,comes,infinitive,past tense,present participle,3rd person singular present
32,She is very beautiful but she does not realize it.,She is very beautiful but she does not ... it.,realize,realize,realizes,realizing,realize,infinitive,3rd person singular present,present participle,infinitive
33,She bought a pretty dress.,She ... a pretty dress.,buy,bought,buys,buy,buyed,past tense,3rd person singular present,infinitive,past participle
34,This swiss knife is very useful when you travel.,This swiss knife is very useful when you ....,travel,travel,travels,traveled,traveled,non-3rd person singular present,3rd person singular present,past tense,past participle
35,He has a complex personnality which is what makes him charming.,He ... a complex personnality which is what makes him charming.,have,has,haved,haves,having,3rd person singular present,past participle,3rd person singular present,present participle
36,He has a complex personnality which is what makes him charming.,He has a complex personnality which is what ... him charming.,make,makes,make,maked,maked,3rd person singular present,infinitive,past tense,past participle
37,The hamster has been behaving strangely these last few days.,The hamster has been ... strangely these last few days.,behave,behaving,behaved,behaved,behave,present participle,past participle,past tense,infinitive
38,"The solution was obvious, it really jumped out at you.","The solution was obvious, it really ... out at you.",jump,jumped,jumping,jumps,jumped,past tense,present participle,3rd person singular present,past participle
39,He is amusing but he does not realise it.,He is amusing but he does not ... it.,realise,realise,realised,realising,realised,infinitive,past tense,present participle,past participle
40,It's funny I cannot remember him.,It's funny I cannot ... him.,remember,remember,remember,remembering,remembers,infinitive,infinitive,present participle,3rd person singular present
41,"He is an excellent pupil, but he does not want to study.","He is an excellent pupil, but he does not ... to study.",want,want,wanted,wanted,wants,infinitive,past tense,past participle,3rd person singular present
42,"He is an excellent pupil, but he does not want to study.","He is an excellent pupil, but he does not want to ....",study,study,studying,studied,study,infinitive,present participle,past tense,infinitive
43,This teacher is mediocre but we have no choice.,This teacher is mediocre but we ... no choice.,have,have,haved,have,haves,non-3rd person singular present,past tense,infinitive,3rd person singular present
44,The offices of the company are located in an old building.,The offices of the company ... in an old building.,locate,are located,locates,locate,located,past participle,3rd person singular present,infinitive,past participle
45,This man looks crazy.,This man ... crazy.,look,looks,look,looking,looked,3rd person singular present,infinitive,present participle,past participle
46,He was wearing a beige pair of trousers and a white shirt.,He was ... a beige pair of trousers and a white shirt.,wear,wearing,wears,weared,wear,present participle,3rd person singular present,past participle,infinitive
47,He has brown eyes.,He ... brown eyes.,have,has,haves,haved,haved,3rd person singular present,3rd person singular present,past tense,past participle
48,The houses of this village had orange doors.,The houses of this village ... orange doors.,have,had,haves,haved,have,past tense,3rd person singular present,past participle,infinitive
49,He wears very coloured clothes.,He ... very coloured clothes.,wear,wears,wear,weared,wears,3rd person singular present,infinitive,past tense,3rd person singular present
50,"Night is falling, the street is dark.","Night is ..., the street is dark.",fall,falling,falling,falls,fall,present participle,present participle,3rd person singular present,infinitive
51,It is impossible to work in these conditions.,It is impossible to ... in these conditions.,work,work,works,worked,work,infinitive,3rd person singular present,past participle,infinitive
52,He had a fair skin despite his holidays at the beach.,He ... a fair skin despite his holidays at the beach.,have,had,haved,having,haves,past tense,past tense,present participle,3rd person singular present
53,It was obvious that he was lying.,It was obvious that he was ....,lie,lying,lie,lying,lied,present participle,infinitive,present participle,past tense
54,"This black dress suits you well, you are very stylish.","This black dress ... you well, you are very stylish.",suit,suits,suit,suits,suiting,3rd person singular present,infinitive,3rd person singular present,present participle
55,He lives in a pleasant house on the seashore.,He ... in a pleasant house on the seashore.,live,lives,lived,living,lives,3rd person singular present,past tense,present participle,3rd person singular present
56,He knows how to be charming when he wants to be.,He ... how to be charming when he wants to be.,know,knows,knowed,know,knowed,3rd person singular present,past participle,infinitive,past tense
57,He knows how to be charming when he wants to be.,He knows how to be charming when he ... to be.,want,wants,want,wanting,wants,3rd person singular present,infinitive,present participle,3rd person singular present
58,He knows how to be charming when he wants to be.,He knows how to ... charming when he wants to ....,be,be,be,bed,bing,infinitive,infinitive,past participle,present participle
59,A fatal accident occured on the motorway.,A fatal accident ... on the motorway.,occur,occured,occured,occured,occur,past tense,past tense,past participle,infinitive
60,"To be efficient, you have to be motivated.","To be efficient, you ... to be motivated.",have,have,have,haves,haved,non-3rd person singular present,infinitive,3rd person singular present,past tense
61,"To be efficient, you have to be motivated.","To be efficient, you have to ....",motivate,be motivated,motivated,motivates,motivating,past participle,past tense,3rd person singular present,present participle
62,He is very unefficient when he does not sleep,He is very unefficient when he does not ...,sleep,sleep,sleep,sleeped,sleeping,infinitive,infinitive,past tense,present participle
63,He is very gifted in mathematics.,He is very ... in mathematics.,gift,gifted,gifted,gift,gifts,past participle,past tense,infinitive,3rd person singular present
64,He is an exceptionnal artist who has a bright future ahead of him.,He is an exceptionnal artist who ... a bright future ahead of him.,have,has,haved,haved,have,3rd person singular present,past participle,past tense,infinitive
65,Something aweful happened.,Something aweful ....,happen,happened,happened,happens,happen,past tense,past participle,3rd person singular present,infinitive
66,He took his own car.,He ... his own car.,take,took,takes,take,taked,past tense,3rd person singular present,infinitive,past participle
67,"The flat is dirty, it should be cleaned up.","The flat is dirty, it ... up.",clean,should be cleaned,cleans,cleaned,cleaned,past participle,3rd person singular present,past participle,past tense
68,"His speech was short, but the success was thundering.","His speech was short, but the success was ....",thunder,thundering,thundered,thunders,thundered,present participle,past participle,3rd person singular present,past tense
69,Wanting to take the driver's licence exam without being ready is absurd.,... to take the driver's licence exam without being ready is absurd.,Want,Wanting,Want,Wanted,Wanted,present participle,infinitive,past participle,past tense
70,Wanting to take the driver's licence exam without being ready is absurd.,Wanting to ... the driver's licence exam without being ready is absurd.,take,take,taking,take,taked,infinitive,present participle,infinitive,past tense
71,"You left the pie in the oven for too long, it is completely burnt now.","You ... the pie in the oven for too long, it is completely burnt now.",leave,left,leaves,leaving,leaved,past tense,3rd person singular present,present participle,past tense
72,"You left the pie in the oven for too long, it is completely burnt now.","You left the pie in the oven for too long, it is completely ... now.",burn,burnt,burned,burned,burn,past participle,past tense,past participle,infinitive
73,Do you prefer onions raw or cooked?,Do you ... onions raw or cooked?,prefer,prefer,prefering,prefered,prefered,infinitive,present participle,past participle,past tense
74,Do you prefer onions raw or cooked?,Do you prefer onions raw or ...?,cook,cooked,cooks,cooked,cooking,past participle,3rd person singular present,past participle,present participle
75,"His sister is sterile, she cannot have children.","His sister is sterile, she cannot ... children.",have,have,haves,having,haved,infinitive,3rd person singular present,present participle,past tense
76,"This bag is very heavy, could you help me?","This bag is very heavy, could you ... me?",help,help,helped,helped,helping,infinitive,past tense,past participle,present participle
77,"Your suitcase is light, let me carry it for you.","Your suitcase is light, ... me carry it for you.",let,let,let,letting,letted,infinitive,infinitive,present participle,past tense
78,"Your suitcase is light, let me carry it for you.","Your suitcase is light, let me ... it for you.",carry,carry,carried,carried,carrying,infinitive,past tense,past participle,present participle
79,"It is a very rare species, it should be protected.","It is a very rare species, it ....",protect,should be protected,protects,protect,protecting,past participle,3rd person singular present,infinitive,present participle
80,I am visiting my family next month.,I am ... my family next month.,visit,visiting,visited,visit,visited,present participle,past tense,infinitive,past participle
81,It is the last time I am travelling by bus.,It is the last time I am ... by bus.,travel,travelling,traveled,traveling,travels,present participle,past participle,present participle,3rd person singular present
82,A powerful explosion woke up the neighboorhood.,A powerful explosion ... up the neighboorhood.,wake,woke,waked,waking,waked,past tense,past participle,present participle,past tense
83,He is helpless faced with this situation.,He is helpless ... with this situation.,face,faced,faced,facing,faced,past participle,past tense,present participle,past participle
84,He thinks he passed this exam. Its is possible but not very likely.,He ... he passed this exam. Its is possible but not very likely.,think,thinks,thinked,thinking,thinks,3rd person singular present,past tense,present participle,3rd person singular present
85,He thinks he passed this exam. Its is possible but not very likely.,He thinks he ... this exam. Its is possible but not very likely.,pass,passed,pass,passes,passing,past tense,infinitive,3rd person singular present,present participle
86,Swallows come back periodically.,Swallows ... back periodically.,come,come,come,coming,comed,non-3rd person singular present,infinitive,present participle,past participle
87,"It is a private property, it is forbidden to enter.","It is a private property, it is forbidden to ....",enter,enter,entering,enters,entered,infinitive,present participle,3rd person singular present,past participle
88,Smoking is forbidden in public places.,Smoking ... in public places.,forbid,is forbidden,forbiding,forbided,forbided,past participle,present participle,past tense,past participle
89,I am sure I have locked the door.,I am sure I have ... the door.,lock,locked,lock,locks,locked,past participle,infinitive,3rd person singular present,past participle
90,Practicing sport regularly bears more fruit than practicing sport intensively.,... sport regularly bears more fruit than practicing sport intensively.,Practice,Practicing,Practiced,Practiced,Practices,present participle,past participle,past tense,3rd person singular present
91,Practicing sport regularly bears more fruit than practicing sport intensively.,Practicing sport regularly ... more fruit than practicing sport intensively.,bear,bears,bearing,beared,bear,3rd person singular present,present participle,past tense,infinitive
92,Practicing sport regularly bears more fruit than practicing sport intensively.,Practicing sport regularly bears more fruit than ... sport intensively.,practice,practicing,practiced,practice,practices,present participle,past participle,infinitive,3rd person singular present
93,"The comfort of this house is a bit rustic, but one gets used to it.","The comfort of this house is a bit rustic, but one ... to it.",use,gets used,use,used,using,past participle,infinitive,past participle,present participle
94,"This job is very exhausting, I will change jobs soon.","This job is very exhausting, I will ... jobs soon.",change,change,changing,changes,changed,infinitive,present participle,3rd person singular present,past tense
95,She listens to her feminine intuition too much.,She ... to her feminine intuition too much.,listen,listens,listened,listened,listening,3rd person singular present,past tense,past participle,present participle
96,He just broke an absolute record.,He just ... an absolute record.,break,broke,breaks,breaked,breaking,past tense,3rd person singular present,past tense,present participle
97,He remained a virgin until the day he got married.,He ... a virgin until the day he got married.,remain,remained,remains,remained,remain,past tense,3rd person singular present,past tense,infinitive
98,He remained a virgin until the day he got married.,He remained a virgin until the day he got ....,marry,married,married,marrying,married,past participle,past participle,present participle,past tense
99,He leads a very ordinary life.,He ... a very ordinary life.,lead,leads,leaded,leading,leaded,3rd person singular present,past tense,present participle,past participle
100,She has an extraordinary ability to forget everything.,She ... an extraordinary ability to forget everything.,have,has,haved,having,have,3rd person singular present,past participle,present participle,infinitive
101,She has an extraordinary ability to forget everything.,She has an extraordinary ability to ... everything.,forget,forget,forgeting,forgets,forgeted,infinitive,present participle,3rd person singular present,past tense
102,He came quickly after his work.,He ... quickly after his work.,come,came,coming,comed,comed,past tense,present participle,past participle,past tense
103,Better to drive slowly but carefully.,Better to ... slowly but carefully.,drive,drive,drived,drives,drived,infinitive,past tense,3rd person singular present,past participle
104,"Suddenly, the bus pulled up.","Suddenly, the bus ... up.",pull,pulled,pulls,pulled,pull,past tense,3rd person singular present,past tense,infinitive
105,I came mostly to see you.,I ... mostly to see you.,come,came,come,comed,comed,past tense,infinitive,past tense,past participle
106,I came mostly to see you.,I came mostly to ... you.,see,see,see,sees,seed,infinitive,infinitive,3rd person singular present,past tense
107,"Most of the time, he goes out on Saturday nights.","Most of the time, he ... out on Saturday nights.",go,goes,goed,gos,go,3rd person singular present,past participle,3rd person singular present,infinitive
108,Have you eaten enough?,Have you ... enough?,eat,eaten,eated,eat,eating,past participle,past participle,infinitive,present participle
109,He seldom visits his parents.,He seldom ... his parents.,visit,visits,visits,visited,visit,3rd person singular present,3rd person singular present,past tense,infinitive
110,He often takes the bus to come.,He often ... the bus to come.,take,takes,takes,taked,taked,3rd person singular present,3rd person singular present,past participle,past tense
111,He often takes the bus to come.,He often takes the bus to ....,come,come,comed,comed,coming,infinitive,past participle,past tense,present participle
112,You always have to double lock the door in this neighborhood.,You always ... to double lock the door in this neighborhood.,have,have,have,haved,haved,non-3rd person singular present,infinitive,past participle,past tense
113,You always have to double lock the door in this neighborhood.,You always have to double ... the door in this neighborhood.,lock,lock,locks,locking,locked,infinitive,3rd person singular present,present participle,past tense
114,We never went on holidays.,We never ... on holidays.,go,went,going,go,goed,past tense,present participle,infinitive,past participle
115,I go to the cinema from times to times.,I ... to the cinema from times to times.,go,go,gos,going,go,non-3rd person singular present,3rd person singular present,present participle,infinitive
116,He travelled a lot when he was young.,He ... a lot when he was young.,travel,travelled,travel,traveled,traveling,past tense,infinitive,past tense,present participle
117,"You work little, but you earn a lot of money.","You ... little, but you earn a lot of money.",work,work,work,working,worked,non-3rd person singular present,infinitive,present participle,past tense
118,"You work little, but you earn a lot of money.","You work little, but you ... a lot of money.",earn,earn,earn,earning,earns,non-3rd person singular present,infinitive,present participle,3rd person singular present
119,"Generally, we go to bed before midnight.","Generally, we ... to bed before midnight.",go,go,goed,goed,going,non-3rd person singular present,past participle,past tense,present participle
120,I am going shopping now.,I am ... shopping now.,go,going,going,goed,gos,present participle,present participle,past participle,3rd person singular present
121,I am going shopping now.,I am going ... now.,shop,shopping,shopped,shop,shops,present participle,past tense,infinitive,3rd person singular present
122,I went to the garden with the kids yesterday.,I ... to the garden with the kids yesterday.,go,went,going,go,gos,past tense,present participle,infinitive,3rd person singular present
123,"Today, I have nothing special to do.","Today, I ... nothing special to do.",have,have,haved,have,haves,non-3rd person singular present,past participle,infinitive,3rd person singular present
124,"Today, I have nothing special to do.","Today, I have nothing special to ....",do,do,doed,doing,doed,infinitive,past participle,present participle,past tense
125,We will talk about that tomorrow.,We will ... about that tomorrow.,talk,talk,talks,talked,talk,infinitive,3rd person singular present,past tense,infinitive
126,We will meet later.,We will ... later.,meet,meet,meets,meeting,meeted,infinitive,3rd person singular present,present participle,past participle
127,My letter has finally arrived.,My letter has finally ....,arrive,arrived,arrives,arrived,arrived,past participle,3rd person singular present,past tense,past participle
128,She is constantly moaning.,She is constantly ....,moan,moaning,moaned,moans,moaned,present participle,past participle,3rd person singular present,past tense
129,He lives far from downtown.,He ... far from downtown.,live,lives,live,lives,lived,3rd person singular present,infinitive,3rd person singular present,past tense
130,It happened next to our house.,It ... next to our house.,happen,happened,happens,happen,happening,past tense,3rd person singular present,infinitive,present participle
131,"The more I think about it, the more I am satisfied with my choice.","The more I ... about it, the more I am satisfied with my choice.",think,think,think,thinks,thinked,non-3rd person singular present,infinitive,3rd person singular present,past tense
132,"Go read somewhere else, the girl needs to sleep.","... read somewhere else, the girl needs to sleep.",Go,Go,Go,Goed,Going,infinitive,infinitive,past participle,present participle
133,"Go read somewhere else, the girl needs to sleep.","Go ... somewhere else, the girl needs to sleep.",read,read,read,reads,readed,infinitive,infinitive,3rd person singular present,past participle
134,"Go read somewhere else, the girl needs to sleep.","Go read somewhere else, the girl ... to sleep.",need,needs,needed,needing,need,3rd person singular present,past tense,present participle,infinitive
135,"Go read somewhere else, the girl needs to sleep.","Go read somewhere else, the girl needs to ....",sleep,sleep,sleeping,sleeped,sleeps,infinitive,present participle,past tense,3rd person singular present
136,He has almost finished his meal.,He has almost ... his meal.,finish,finished,finishes,finished,finished,past participle,3rd person singular present,past tense,past participle
137,"We arrived too late, we could not get in.","We ... too late, we could not get in.",arrive,arrived,arrives,arriving,arrived,past tense,3rd person singular present,present participle,past tense
138,"We arrived too late, we could not get in.","We arrived too late, we could not ... in.",get,get,getting,getted,getted,infinitive,present participle,past tense,past participle
139,He too wants to join the project.,He too ... to join the project.,want,wants,wanted,want,wants,3rd person singular present,past tense,infinitive,3rd person singular present
140,He too wants to join the project.,He too wants to ... the project.,join,join,joined,joined,joining,infinitive,past tense,past participle,present participle
141,They are going to the cinema together tomorrow.,They are ... to the cinema together tomorrow.,go,going,go,goed,gos,present participle,infinitive,past participle,3rd person singular present
142,The dog is burried behind the house.,The dog ... behind the house.,burry,is burried,burried,burried,burries,past participle,past tense,past participle,3rd person singular present
143,He looked for his jacket in the wardrobe but he did not thought about looking over it.,He ... for his jacket in the wardrobe but he did not thought about looking over it.,look,looked,looked,looking,look,past tense,past tense,present participle,infinitive
144,He looked for his jacket in the wardrobe but he did not thought about looking over it.,He looked for his jacket in the wardrobe but he did not ... about looking over it.,think,thought,thinked,thinked,think,infinitive,past participle,past tense,infinitive
145,He looked for his jacket in the wardrobe but he did not thought about looking over it.,He looked for his jacket in the wardrobe but he did not thought about ... over it.,look,looking,looked,looked,looks,present participle,past tense,past participle,3rd person singular present
146,"My book is no longer on the table, he might have fallen underneath it.","My book is no longer on the table, he might have ... underneath it.",fall,fallen,falled,fall,falling,past participle,past participle,infinitive,present participle
147,Do not let the cat walk on the table.,Do not ... the cat walk on the table.,let,let,letted,letted,lets,infinitive,past tense,past participle,3rd person singular present
148,Do not let the cat walk on the table.,Do not let the cat ... on the table.,walk,walk,walking,walks,walked,infinitive,present participle,3rd person singular present,past participle
149,He arrived an hour before the show.,He ... an hour before the show.,arrive,arrived,arrives,arrive,arrived,past tense,3rd person singular present,infinitive,past participle
150,Your brother will come after lunch.,Your brother will ... after lunch.,come,come,coming,comed,comes,infinitive,present participle,past participle,3rd person singular present
151,We only have two children.,We only ... two children.,have,have,haved,having,haves,non-3rd person singular present,past participle,present participle,3rd person singular present
152,Do you really want to go to the cinema?,Do you really ... to go to the cinema?,want,want,wanted,wants,wanting,infinitive,past tense,3rd person singular present,present participle
153,Do you really want to go to the cinema?,Do you really want to ... to the cinema?,go,go,goed,gos,goed,infinitive,past tense,3rd person singular present,past participle
154,He came by for a bit and then he left.,He ... by for a bit and then he left.,come,came,come,comed,comes,past tense,infinitive,past tense,3rd person singular present
155,He came by for a bit and then he left.,He came by for a bit and then he ....,leave,left,leaving,leaved,leave,past tense,present participle,past tense,infinitive
156,"Speaking about your studies, how did your exams go?","... about your studies, how did your exams go?",Speak,Speaking,Speak,Speaked,Speaks,present participle,infinitive,past tense,3rd person singular present
157,"Speaking about your studies, how did your exams go?","Speaking about your studies, how did your exams ...?",go,go,goed,going,go,infinitive,past participle,present participle,infinitive
158,He works even when he is ill.,He ... even when he is ill.,work,works,work,works,worked,3rd person singular present,infinitive,3rd person singular present,past tense
159,The kids left the toys out of the box.,The kids ... the toys out of the box.,leave,left,leaved,leaving,leaved,past tense,past tense,present participle,past participle
160,The cat stays inside the house all day long.,The cat ... inside the house all day long.,stay,stays,stayed,staying,stay,3rd person singular present,past participle,present participle,infinitive
161,The kids are playing outside.,The kids are ... outside.,play,playing,playing,played,plays,present participle,present participle,past participle,3rd person singular present
162,"Come inside, it is freezing cold outside.","... inside, it is freezing cold outside.",Come,Come,Comed,Comes,Comed,infinitive,past tense,3rd person singular present,past participle
163,"Come inside, it is freezing cold outside.","Come inside, it is ... cold outside.",freeze,freezing,freezes,freezed,freezing,present participle,3rd person singular present,past participle,present participle
164,She comes regularly to give him French lessons.,She ... regularly to give him French lessons.,come,comes,coming,comed,come,3rd person singular present,present participle,past participle,infinitive
